#libraryId	experimentId	speciesId	organism	genomeFilePath	database	platform	libraryType	libraryInfo	readLength	runIds
SRX001872	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer	SINGLE	NA	36	SRR006511,SRR006512,SRR006513
SRX001873	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer	SINGLE	NA	36	SRR006514,SRR006515,SRR006516
SRX001874	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer	SINGLE	NA	36	SRR006517,SRR006518
SRX001875	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer	SINGLE	NA	36	SRR006519,SRR006520
SRX004864	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	36	SRR016671,SRR016672,SRR016673,SRR016682
SRX004865	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	36	SRR016674,SRR016675
SRX004867	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	PAIRED	NA	36	SRR016679,SRR016680,SRR016681,SRR016683
SRX004868	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	36	SRR016684,SRR016685,SRR016686
SRX047469	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	76	SRR124273,SRR124274
SRX047787	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	76	SRR125481,SRR125482
SRX085111	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR317083
SRX085112	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	PAIRED	NA	152	SRR316196
SRX085218	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR317082,SRR350977
