"#libraryId"	"excluded"	"experimentId"	"comment"	"annotatorId"	"lastModificationDate"
"SRX037197"	"FALSE"	"SRP000401"	"See https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33, I propose to conserve and to annotate other libraries too. Previous comment from JR was: This does not seem to be a classical RNA-seq experiment. Apparently there was an array caputure before library preparation. Not much information on the SRA record, but this file seems to confirm it: http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx"	"ANN"	"2018-01-30"
"SRX050630"	"FALSE"	"SRP000401"	"See https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33, I propose to conserve and to annotate other libraries too. Previous comment from JR was: This does not seem to be a classical RNA-seq experiment. Apparently there was an array caputure before library preparation. Not much information on the SRA record, but this file seems to confirm it: http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx"	"ANN"	"2018-01-30"
"SRX185637"	"TRUE"	"SRP015688"	"discarded following MRR advices, see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/77#note_8363"	"SEB"	"2018-08-06"
"SRX185639"	"TRUE"	"SRP015688"	"discarded following MRR advices, see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/77#note_8363"	"SEB"	"2018-08-06"
"SRX185660"	"TRUE"	"SRP015688"	"discarded following MRR advices, see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/77#note_8363"	"SEB"	"2018-08-06"
"SRX185661"	"TRUE"	"SRP015688"	"discarded following MRR advices, see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/77#note_8363"	"SEB"	"2018-08-06"
"SRX028190"	"FALSE"	"GSE22410"	"See https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33, agree to conserve. Previous comment from JR was: This experiment (GSE22410) was made with a home-tuned protocol, see http://www.ncbi.nlm.nih.gov/pubmed/21177965. But it seems in fact quite similar to other classical protocols, and it covers the whole transcriptome, so we include it. Other samples from the same experiment, made wiht other protocols might not be valid, but they were not retained in the WormBase annotations files (maybe for this reason)."	"ANN"	"2018-01-30"
"SRX006984"	"FALSE"	"GSE16552"	"See https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33, agree to conserve. Previous comment from JR was: This experiment (GSE16552) is listed on GEO as Non-coding RNA profiling by high throughput sequencing, but nothing on the description of the samples suggests this, so this is probably a mistake. The only thing is Library selection=size fractionation, but this could alos indicate fragment size selection, usually made on RNA-seq libraries. Wrote an email to GEO on Mar 15, 2016. For now these sample are kept"	"ANN"	"2018-01-30"
"SRX006985"	"FALSE"	"GSE16552"	"See https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33, agree to conserve. Previous comment from JR was: This experiment (GSE16552) is listed on GEO as Non-coding RNA profiling by high throughput sequencing, but nothing on the description of the samples suggests this, so this is probably a mistake. The only thing is Library selection=size fractionation, but this could alos indicate fragment size selection, usually made on RNA-seq libraries. Wrote an email to GEO on Mar 15, 2016. For now these sample are kept"	"ANN"	"2018-01-30"
"SRX006986"	"FALSE"	"GSE16552"	"See https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33, agree to conserve. Previous comment from JR was: This experiment (GSE16552) is listed on GEO as Non-coding RNA profiling by high throughput sequencing, but nothing on the description of the samples suggests this, so this is probably a mistake. The only thing is Library selection=size fractionation, but this could alos indicate fragment size selection, usually made on RNA-seq libraries. Wrote an email to GEO on Mar 15, 2016. For now these sample are kept"	"ANN"	"2018-01-30"
